port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
1,25,68,1958,7768,0,0,0,0,0,0,0,0,7750,614000000
1,32,75,2532,8342,0,0,0,0,0,0,0,0,8750,693000000
1,32,77,2532,8482,0,0,0,0,0,0,0,0,9750,810000000
1,122175,123032,8063886,1762946187,0,0,0,0,0,0,0,0,880,990000000
8063886,1762946187,0,0,0,0,0,0,0,0,860,328000000
,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,12000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,67000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,41000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,22000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,29000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,30000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,31000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,25000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,40000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,27000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,28000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,12000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,11,-976000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,15000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,15000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,69000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,13000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,23000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,12000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,22000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,13000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,46000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,28000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,12000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,67000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,71000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,23000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,32000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,22000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,11,-975000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,25000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,26000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,30000000
1,0,1,0,70,0,0,0,0,0,0,0,0,10,23000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,29000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,22000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,23000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,26000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,1,0,70,0,0,0,0,0,0,0,0,10,15000000
1,0,0,0,0,0,0,